Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD10A1_006_Line_Y_500m,MOD10A1_006_Sample_X_500m,MOD10A1_006_NDSI_Snow_Cover,MOD10A1_006_NDSI_Snow_Cover_Basic_QA,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA,MOD10A1_006_NDSI_Snow_Cover_Basic_QA_bitmask,MOD10A1_006_NDSI_Snow_Cover_Basic_QA_Quality_Mask,MOD10A1_006_NDSI_Snow_Cover_Basic_QA_Quality_Mask_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_bitmask,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Inland_Water,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Inland_Water_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Low_Visible_Screen,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Low_Visible_Screen_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Low_NDSI_Screen,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Low_NDSI_Screen_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Combined_temperature/height_screen,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Combined_temperature/height_screen_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Shortware_IR_(SWIR)_reflectance_anomalously_high,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Shortware_IR_(SWIR)_reflectance_anomalously_high_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Solar_zenith_screen_failed,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Solar_zenith_screen_failed_Description
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-22,h11v04,1382,1241,0,0,20,0b00000000,0b00000000,Best,0b00010100,0b0,No,0b0,No,0b1,Yes,0b0,No,0b1,Yes,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-23,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-24,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-25,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-26,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-27,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-28,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-29,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-30,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-31,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-01,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-02,h11v04,1382,1241,38,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-03,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-04,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-05,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-06,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-07,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-08,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-09,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-10,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-11,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-12,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-13,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-14,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-15,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-16,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-17,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-18,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-19,h11v04,1382,1241,30,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-20,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-21,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-22,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-23,h11v04,1382,1241,43,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-24,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-25,h11v04,1382,1241,255,255,255,0b11111111,0b11111111,Unusable input or no data,0b11111111,0b1,Yes,0b1,Yes,0b1,Yes,0b1,Yes,0b1,Yes,0b1,Yes
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-26,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-27,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-02-28,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-01,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-02,h11v04,1382,1241,51,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-03,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-04,h11v04,1382,1241,51,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-05,h11v04,1382,1241,56,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-06,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-07,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-08,h11v04,1382,1241,30,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-09,h11v04,1382,1241,36,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-03-10,h11v04,1382,1241,28,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
